subj,block,rts,accuracy,item_type,item_gram,phrase_type
1,1,189.4,1,pn,0,VP
1,1,686.5,1,dv,0,DP
1,1,3131.6,1,dn,1,DP
1,1,448,1,dv,0,DP
1,1,908.5,1,pv,1,VP
1,1,913.8,1,dn,1,DP
1,1,1899.5,1,pv,1,VP
1,1,1601,1,dv,0,DP
1,1,1701,1,dv,0,DP
1,1,477.3,1,dn,1,DP
1,1,752.5,1,pv,1,VP
1,1,612,1,pn,0,VP
1,1,467,1,pv,1,VP
1,1,625.1,1,pv,1,VP
1,1,639.4,1,dv,0,DP
1,1,592.6,1,pn,0,VP
1,1,480.9,1,pn,0,VP
1,1,506,1,dv,0,DP
1,1,552.6,1,pn,0,VP
1,1,338.2,1,dn,1,DP
1,1,280.9,1,dn,1,DP
1,1,287.5,1,dv,0,DP
1,1,266.5,1,pv,1,VP
1,1,279.4,1,dv,0,DP
1,1,455.7,1,pn,0,VP
1,1,387,1,pn,0,VP
1,1,246.2,1,pv,1,VP
1,1,314.3,1,pv,1,VP
1,1,327.5,1,dv,0,DP
1,1,312.5,1,dv,0,DP
1,1,260,1,dn,1,DP
1,1,337,1,pv,1,VP
1,1,402.6,1,dv,0,DP
1,1,242.4,1,pv,1,VP
1,1,302.7,1,dv,0,DP
1,1,348.1,1,pn,0,VP
1,1,250.7,1,pn,0,VP
1,1,251,1,pn,0,VP
1,1,191.9,1,pv,1,VP
1,1,234.3,1,pn,0,VP
1,1,211.6,1,dv,0,DP
1,1,243.5,1,pn,0,VP
1,1,305.4,1,dn,1,DP
1,1,1508.8,1,pn,0,VP
1,1,271.5,1,pv,1,VP
1,1,222.1,1,dn,1,DP
1,1,172.8,1,pv,1,VP
1,1,189.8,1,dn,1,DP
1,1,262.7,1,dn,1,DP
1,1,173.3,1,pv,1,VP
1,1,220.9,1,dv,0,DP
1,1,201.8,1,dn,1,DP
1,1,542.9,1,pn,0,VP
1,1,244.7,1,dn,1,DP
1,1,215.5,1,dn,1,DP
1,1,210.7,1,dn,1,DP
1,1,272.2,1,dv,0,DP
1,1,211.4,1,dn,1,DP
1,1,263.9,1,pn,0,VP
1,1,218.1,1,pv,1,VP
1,1,235.3,1,pv,1,VP
1,1,252.4,1,dn,1,DP
1,1,179,1,pv,1,VP
1,1,226.9,1,dn,1,DP
1,1,333,1,pn,0,VP
1,1,298,1,pn,0,VP
1,1,285.6,1,dv,0,DP
1,1,260.4,1,dn,1,DP
1,1,308,1,pn,0,VP
1,1,300.3,1,pn,0,VP
1,1,304.2,1,dv,0,DP
1,1,147.3,1,dv,0,DP
1,1,117.1,1,dn,1,DP
1,1,130.8,1,pn,0,VP
1,1,230.5,1,pv,1,VP
1,1,277.6,1,dn,1,DP
1,1,203,1,pn,0,VP
1,1,474.1,1,pn,0,VP
1,1,343.8,1,pn,0,VP
1,1,836.3,1,dv,0,DP
1,1,242.4,1,dn,1,DP
1,1,216.3,1,dn,1,DP
1,1,1737.3,1,pv,1,VP
1,1,532.8,1,pv,1,VP
1,1,179.9,1,pn,0,VP
1,1,1857.3,1,pn,0,VP
1,1,417.3,1,pn,0,VP
1,1,304.2,1,dn,1,DP
1,1,283.1,1,dv,0,DP
1,1,429.3,1,dv,0,DP
1,1,227.6,1,pv,1,VP
1,1,398.2,1,dv,0,DP
1,1,321.5,1,pn,0,VP
1,1,357.7,1,dn,1,DP
1,1,268.4,1,pn,0,VP
1,1,320.2,1,dv,0,DP
1,1,369.1,1,dv,0,DP
1,1,417.8,1,dn,1,DP
1,1,194.4,1,pv,1,VP
1,1,563.3,1,dv,0,DP
1,1,53.6,1,pv,1,VP
1,1,275,1,dv,0,DP
1,1,400.6,1,dv,0,DP
1,1,175,1,pv,1,VP
1,1,317.9,1,pv,1,VP
1,1,254.5,1,dn,1,DP
1,1,252.8,1,pn,0,VP
1,1,287,1,dn,1,DP
1,1,158.9,1,pv,1,VP
1,1,1287.1,1,pv,1,VP
1,1,330.3,1,pn,0,VP
1,1,294,1,dv,0,DP
1,1,223.5,1,pv,1,VP
1,1,42.6,1,dn,1,DP
1,1,624.7,1,pv,1,VP
1,1,278.3,1,pv,1,VP
1,1,291.6,1,pn,0,VP
1,1,213.5,1,dn,1,DP
1,1,194,1,dv,0,DP
1,1,294.7,1,dv,0,DP
1,1,381.3,1,dv,0,DP
1,1,267.7,1,dn,1,DP
1,1,264.3,1,pn,0,VP
1,1,205.2,1,pv,1,VP
1,1,222.2,1,pv,1,VP
1,1,517,1,pn,0,VP
1,1,663.9,1,pv,1,VP
1,1,306.3,1,pv,1,VP
1,1,349.8,1,dn,1,DP
1,1,711.7,1,dn,1,DP
1,1,479.2,1,dn,1,DP
1,1,254.4,1,dv,0,DP
1,1,311.7,1,dv,0,DP
1,1,377.2,1,pv,1,VP
1,1,287.8,1,pn,0,VP
1,1,307.1,1,dv,0,DP
1,1,250.6,1,pv,1,VP
1,1,283.9,1,dn,1,DP
1,1,322.3,1,dn,1,DP
1,1,241.2,1,dn,1,DP
1,1,297.2,1,dv,0,DP
1,1,238.1,1,pv,1,VP
1,1,309.8,1,pn,0,VP
1,1,224.1,1,dn,1,DP
1,1,259.5,1,dn,1,DP
1,1,291.5,1,dv,0,DP
1,1,247.9,1,pn,0,VP
1,1,206.8,1,dv,0,DP
1,1,19.9,1,pn,0,VP
1,1,244.8,1,pv,1,VP
1,1,216.6,1,pn,0,VP
1,1,253.6,1,dn,1,DP
1,1,317.2,1,dv,0,DP
